[  0] 0x7FF7E75AA667 Fallout4.exe+145A667	movzx edx, byte ptr [r8+0x1A] |  GameScript::BasicEventHandler::ProcessEvent(TESCombatEvent&,BSTEventSource<TESCombatEvent>*)_145A667 -> 1025656+0x57	movzx edx, byte ptr [r8+0x1A]
[RSP+4150] 0x200000           (size_t) [2097152]
[RSP+4158] 0x0                (size_t) [0]
[RSP+4160] 0x200000           (size_t) [2097152]
[RSP+4168] 0x0                (size_t) [0]
[RSP+4170] 0x4A3F6            (size_t) [304118]
[RSP+4178] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4180] 0x0                (size_t) [0]
[RSP+4188] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4190] 0x0                (size_t) [0]
[RSP+4198] 0x200000           (size_t) [2097152]
[RSP+41A0] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+41A8] 0x7FF7E6EBF2BE     (void* -> Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE)
[RSP+41B0] 0x1FCDF246900      (void*)
[RSP+41B8] 0xFFFFFFFF         (size_t) [4294967295]
[RSP+41C0] 0x164513E770       (void*)
[RSP+41C8] 0x7FF7E6FC03FD     (void* -> Fallout4.exe+0E703FD	test rax, rax |  AIProcess::GetFaceAnimationData(Actor&)_E703FD)
[RSP+41D0] 0x4A3F6            (size_t) [304118]
[RSP+41D8] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+41E0] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+41E8] 0x7FF7E6F37D64     (void* -> Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64)
[RSP+41F0] 0x1                (size_t) [1]
[RSP+41F8] 0x200000           (size_t) [2097152]
[RSP+4200] 0x0                (size_t) [0]
[RSP+4208] 0x0                (size_t) [0]
[RSP+4210] 0x164513E878       (void*)
[RSP+4218] 0x7FF7E6173948     (void* -> Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948)
[RSP+4220] 0x4BAA2000         (size_t) [1269440512]
[RSP+4228] 0x7FF7E6F95CA5     (void* -> Fallout4.exe+0E45CA5	mov rbx, [rsp+0x38] |  AIProcess::RemoveHeadTrackTarget(Actor*,TESObjectREFR*)_E45CA5)
[RSP+4230] 0x1FC00000000      (void*)
[RSP+4238] 0x7FF7E61744E3     (void* -> Fallout4.exe+00244E3	mov esi, eax |  BSSpinLock::Lock(char*)_244E3)
[RSP+4240] 0x1FBC91F8290      (void*)
[RSP+4248] 0x4C               (size_t) [76]
[RSP+4250] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4258] 0x7FF7E6EE6379     (void* -> Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379)
[RSP+4260] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4268] 0x1FC5EEF3200      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF001F16
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x00420409
FormID: 0x0017F2BE
FormType: kACHR (65)
[RSP+4270] 0x0                (size_t) [0]
[RSP+4278] 0x2B               (size_t) [43]
[RSP+4280] 0x65               (size_t) [101]
[RSP+4288] 0x0                (size_t) [0]
[RSP+4290] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4298] 0x7FF7E6EBF5AF     (void* -> Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF)
[RSP+42A0] 0x200000           (size_t) [2097152]
[RSP+42A8] 0x0                (size_t) [0]
[RSP+42B0] 0x200000           (size_t) [2097152]
[RSP+42B8] 0x0                (size_t) [0]
[RSP+42C0] 0x4A3F6            (size_t) [304118]
[RSP+42C8] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+42D0] 0x0                (size_t) [0]
[RSP+42D8] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+42E0] 0x0                (size_t) [0]
[RSP+42E8] 0x200000           (size_t) [2097152]
[RSP+42F0] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+42F8] 0x7FF7E6EBF2BE     (void* -> Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE)
[RSP+4300] 0x1FBE4FD1600      (void*)
[RSP+4308] 0xFFFFFFFF         (size_t) [4294967295]
[RSP+4310] 0x164513E8C0       (void*)
[RSP+4318] 0x7FF7E6FC03FD     (void* -> Fallout4.exe+0E703FD	test rax, rax |  AIProcess::GetFaceAnimationData(Actor&)_E703FD)
[RSP+4320] 0x4A3F6            (size_t) [304118]
[RSP+4328] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4330] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4338] 0x7FF7E6F37D64     (void* -> Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64)
[RSP+4340] 0x1                (size_t) [1]
[RSP+4348] 0x200000           (size_t) [2097152]
[RSP+4350] 0x0                (size_t) [0]
[RSP+4358] 0x0                (size_t) [0]
[RSP+4360] 0x164513E9C8       (void*)
[RSP+4368] 0x7FF7E6173948     (void* -> Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948)
[RSP+4370] 0x4BAA2000         (size_t) [1269440512]
[RSP+4378] 0x7FF7E6F95CA5     (void* -> Fallout4.exe+0E45CA5	mov rbx, [rsp+0x38] |  AIProcess::RemoveHeadTrackTarget(Actor*,TESObjectREFR*)_E45CA5)
[RSP+4380] 0x1FC00000000      (void*)
[RSP+4388] 0x7FF7E61744E3     (void* -> Fallout4.exe+00244E3	mov esi, eax |  BSSpinLock::Lock(char*)_244E3)
[RSP+4390] 0x1FBC91F8290      (void*)
[RSP+4398] 0x4C               (size_t) [76]
[RSP+43A0] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+43A8] 0x7FF7E6EE6379     (void* -> Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379)
[RSP+43B0] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+43B8] 0x1FC5EEF3200      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF001F16
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x00420409
FormID: 0x0017F2BE
FormType: kACHR (65)
[RSP+43C0] 0x0                (size_t) [0]
[RSP+43C8] 0x2B               (size_t) [43]
[RSP+43D0] 0x65               (size_t) [101]
[RSP+43D8] 0x0                (size_t) [0]
[RSP+43E0] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+43E8] 0x7FF7E6EBF5AF     (void* -> Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF)
[RSP+43F0] 0x200000           (size_t) [2097152]
[RSP+43F8] 0x0                (size_t) [0]
[RSP+4400] 0x200000           (size_t) [2097152]
[RSP+4408] 0x0                (size_t) [0]
[RSP+4410] 0x4A3F6            (size_t) [304118]
[RSP+4418] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4420] 0x0                (size_t) [0]
[RSP+4428] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4430] 0x0                (size_t) [0]
[RSP+4438] 0x200000           (size_t) [2097152]
[RSP+4440] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4448] 0x7FF7E6EBF2BE     (void* -> Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE)
[RSP+4450] 0x0                (size_t) [0]
[RSP+4458] 0xFFFFFFFF         (size_t) [4294967295]
[RSP+4460] 0x164513EA10       (void*)
[RSP+4468] 0x7FF7E6FC03FD     (void* -> Fallout4.exe+0E703FD	test rax, rax |  AIProcess::GetFaceAnimationData(Actor&)_E703FD)
[RSP+4470] 0x4A3F6            (size_t) [304118]
[RSP+4478] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4480] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4488] 0x7FF7E6F37D64     (void* -> Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64)
[RSP+4490] 0x1                (size_t) [1]
[RSP+4498] 0x200000           (size_t) [2097152]
[RSP+44A0] 0x0                (size_t) [0]
[RSP+44A8] 0x0                (size_t) [0]
[RSP+44B0] 0x164513EB18       (void*)
[RSP+44B8] 0x7FF7E6173948     (void* -> Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948)
[RSP+44C0] 0x4BAA2000         (size_t) [1269440512]
[RSP+44C8] 0x7FF7E6F95CA5     (void* -> Fallout4.exe+0E45CA5	mov rbx, [rsp+0x38] |  AIProcess::RemoveHeadTrackTarget(Actor*,TESObjectREFR*)_E45CA5)
[RSP+44D0] 0x1FC00000000      (void*)
[RSP+44D8] 0x7FF7E61744E3     (void* -> Fallout4.exe+00244E3	mov esi, eax |  BSSpinLock::Lock(char*)_244E3)
[RSP+44E0] 0x1FBC91F8290      (void*)
[RSP+44E8] 0x4C               (size_t) [76]
[RSP+44F0] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+44F8] 0x7FF7E6EE6379     (void* -> Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379)
[RSP+4500] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4508] 0x1FC5EEF3200      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF001F16
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x00420409
FormID: 0x0017F2BE
FormType: kACHR (65)
[RSP+4510] 0x0                (size_t) [0]
[RSP+4518] 0x2B               (size_t) [43]
[RSP+4520] 0x65               (size_t) [101]
[RSP+4528] 0x0                (size_t) [0]
[RSP+4530] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4538] 0x7FF7E6EBF5AF     (void* -> Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF)
[RSP+4540] 0x200000           (size_t) [2097152]
[RSP+4548] 0x0                (size_t) [0]
[RSP+4550] 0x200000           (size_t) [2097152]
[RSP+4558] 0x0                (size_t) [0]
[RSP+4560] 0x4A3F6            (size_t) [304118]
[RSP+4568] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4570] 0x0                (size_t) [0]
[RSP+4578] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4580] 0x0                (size_t) [0]
[RSP+4588] 0x200000           (size_t) [2097152]
[RSP+4590] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4598] 0x7FF7E6EBF2BE     (void* -> Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE)
[RSP+45A0] 0x0                (size_t) [0]
[RSP+45A8] 0xFFFFFFFF         (size_t) [4294967295]
[RSP+45B0] 0x164513EB60       (void*)
[RSP+45B8] 0x7FF7E6FC03FD     (void* -> Fallout4.exe+0E703FD	test rax, rax |  AIProcess::GetFaceAnimationData(Actor&)_E703FD)
[RSP+45C0] 0x4A3F6            (size_t) [304118]
[RSP+45C8] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+45D0] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+45D8] 0x7FF7E6F37D64     (void* -> Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64)
[RSP+45E0] 0x1                (size_t) [1]
[RSP+45E8] 0x200000           (size_t) [2097152]
[RSP+45F0] 0x0                (size_t) [0]
[RSP+45F8] 0x0                (size_t) [0]
[RSP+4600] 0x164513EC68       (void*)
[RSP+4608] 0x7FF7E6173948     (void* -> Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948)
[RSP+4610] 0x4BAA2000         (size_t) [1269440512]
[RSP+4618] 0x7FF7E6F95CA5     (void* -> Fallout4.exe+0E45CA5	mov rbx, [rsp+0x38] |  AIProcess::RemoveHeadTrackTarget(Actor*,TESObjectREFR*)_E45CA5)
[RSP+4620] 0x1FC00000000      (void*)
[RSP+4628] 0x7FF7E61744E3     (void* -> Fallout4.exe+00244E3	mov esi, eax |  BSSpinLock::Lock(char*)_244E3)
[RSP+4630] 0x1FBC91F8290      (void*)
[RSP+4638] 0x4C               (size_t) [76]
[RSP+4640] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4648] 0x7FF7E6EE6379     (void* -> Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379)
[RSP+4650] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4658] 0x1FC5EEF3200      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF001F16
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x00420409
FormID: 0x0017F2BE
FormType: kACHR (65)
[RSP+4660] 0x0                (size_t) [0]
[RSP+4668] 0x2B               (size_t) [43]
[RSP+4670] 0x65               (size_t) [101]
[RSP+4678] 0x0                (size_t) [0]
[RSP+4680] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4688] 0x7FF7E6EBF5AF     (void* -> Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF)
[RSP+4690] 0x200000           (size_t) [2097152]
[RSP+4698] 0x0                (size_t) [0]
[RSP+46A0] 0x200000           (size_t) [2097152]
[RSP+46A8] 0x0                (size_t) [0]
[RSP+46B0] 0x4A3F6            (size_t) [304118]
[RSP+46B8] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+46C0] 0x0                (size_t) [0]
[RSP+46C8] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+46D0] 0x0                (size_t) [0]
[RSP+46D8] 0x200000           (size_t) [2097152]
[RSP+46E0] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+46E8] 0x7FF7E6EBF2BE     (void* -> Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE)
[RSP+46F0] 0x0                (size_t) [0]
[RSP+46F8] 0xFFFFFFFF         (size_t) [4294967295]
[RSP+4700] 0x164513ECB0       (void*)
[RSP+4708] 0x7FF7E6FC03FD     (void* -> Fallout4.exe+0E703FD	test rax, rax |  AIProcess::GetFaceAnimationData(Actor&)_E703FD)
[RSP+4710] 0x4A3F6            (size_t) [304118]
[RSP+4718] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4720] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4728] 0x7FF7E6F37D64     (void* -> Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64)
[RSP+4730] 0x1                (size_t) [1]
[RSP+4738] 0x200000           (size_t) [2097152]
[RSP+4740] 0x0                (size_t) [0]
[RSP+4748] 0x0                (size_t) [0]
[RSP+4750] 0x164513EDB8       (void*)
[RSP+4758] 0x7FF7E6173948     (void* -> Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948)
[RSP+4760] 0x4BAA2000         (size_t) [1269440512]
[RSP+4768] 0x7FF7E6F95CA5     (void* -> Fallout4.exe+0E45CA5	mov rbx, [rsp+0x38] |  AIProcess::RemoveHeadTrackTarget(Actor*,TESObjectREFR*)_E45CA5)
[RSP+4770] 0x1FC00000000      (void*)
[RSP+4778] 0x7FF7E61744E3     (void* -> Fallout4.exe+00244E3	mov esi, eax |  BSSpinLock::Lock(char*)_244E3)
[RSP+4780] 0x1FBC91F8290      (void*)
[RSP+4788] 0x4C               (size_t) [76]
[RSP+4790] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4798] 0x7FF7E6EE6379     (void* -> Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379)
[RSP+47A0] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+47A8] 0x1FC5EEF3200      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF001F16
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x00420409
FormID: 0x0017F2BE
FormType: kACHR (65)
[RSP+47B0] 0x0                (size_t) [0]
[RSP+47B8] 0x2B               (size_t) [43]
[RSP+47C0] 0x65               (size_t) [101]
[RSP+47C8] 0x0                (size_t) [0]
[RSP+47D0] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+47D8] 0x7FF7E6EBF5AF     (void* -> Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF)
[RSP+47E0] 0x200000           (size_t) [2097152]
[RSP+47E8] 0x0                (size_t) [0]
[RSP+47F0] 0x200000           (size_t) [2097152]
[RSP+47F8] 0x0                (size_t) [0]
[RSP+4800] 0x4A3F6            (size_t) [304118]
[RSP+4808] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4810] 0x0                (size_t) [0]
[RSP+4818] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4820] 0x0                (size_t) [0]
[RSP+4828] 0x200000           (size_t) [2097152]
[RSP+4830] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4838] 0x7FF7E6EBF2BE     (void* -> Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE)
[RSP+4840] 0x0                (size_t) [0]
[RSP+4848] 0xFFFFFFFF         (size_t) [4294967295]
[RSP+4850] 0x164513EE00       (void*)
[RSP+4858] 0x7FF7E6FC03FD     (void* -> Fallout4.exe+0E703FD	test rax, rax |  AIProcess::GetFaceAnimationData(Actor&)_E703FD)
[RSP+4860] 0x4A3F6            (size_t) [304118]
[RSP+4868] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4870] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4878] 0x7FF7E6F37D64     (void* -> Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64)
[RSP+4880] 0x1                (size_t) [1]
[RSP+4888] 0x200000           (size_t) [2097152]
[RSP+4890] 0x0                (size_t) [0]
[RSP+4898] 0x0                (size_t) [0]
[RSP+48A0] 0x164513EF08       (void*)
[RSP+48A8] 0x7FF7E6173948     (void* -> Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948)
